id,value
nfd::fw::NccStrategy::MeasurementsEntryInfo,0.00392183218017
nfd::fw::RetxSuppression,0.00392183218017
nfd::fw::NfdAutoAccessStrategyStrategyRegistrationClass,0.00392183218017
nfd::face::Transport,0.0392570257241
nfd::fw::NccStrategy,0.00392183218017
nfd::rib::Service,0.00392183218017
nfd::StrategyInfoHost,0.00392183218017
nfd::LoggerFactory::Error,0.00392183218017
nfd::name_tree::HashtableOptions,0.00392183218017
nfd::fw::StrategyInfo,0.00392183218017
nfd::tools::nfdc::ChannelModule,0.00392183218017
nfd::fw::RetxSuppressionExponential::PitInfo,0.00392183218017
nfd::RttEstimator,0.00392183218017
nfd::fw::AdmitAllUnsolicitedDataPolicy,0.00392183218017
nfd::tools::nfdc::RibModule,0.00392183218017
nfd::name_tree::Entry,0.00472511732437
nfd::face::UnixStreamTransport,0.00392183218017
nfd::pit::InRecord,0.00392183218017
nfd::face::LpFragmenter::Options,0.00392183218017
ndn::tools::autoconfig::NdnAutoconfig::Error,0.00392183218017
nfd::rib::FibUpdate,0.00547236684405
nfd::face::InternalForwarderTransport,0.00392183218017
nfd::fw::RetxSuppressionFixed,0.00392183218017
nfd::fw::AccessStrategy::PitInfo,0.00392183218017
nfd::pit::OutRecord,0.00392183218017
nfd::TcpChannel,0.00392183218017
nfd::rib::Route,0.00392183218017
nfd::cs::Cs,0.00392183218017
nfd::CommandAuthenticator,0.00392183218017
